Combined,Month,Year,COD
2021-1-01,1,2021,362
2021-2-01,2,2021,381
2021-3-01,3,2021,317
2021-4-01,4,2021,297
2021-5-01,5,2021,399
2021-6-01,6,2021,402
2021-7-01,7,2021,375
2021-8-01,8,2021,349
2021-9-01,9,2021,386
2021-10-01,10,2021,328
2021-11-01,11,2021,389
2021-12-01,12,2021,343
2022-1-01,1,2022,276
2022-2-01,2,2022,334
2022-3-01,3,2022,394
2022-4-01,4,2022,334
2022-5-01,5,2022,384
2022-6-01,6,2022,314
2022-7-01,7,2022,344
2022-8-01,8,2022,337
2022-9-01,9,2022,345
2022-10-01,10,2022,362
2022-11-01,11,2022,314
2022-12-01,12,2022,365
